,Datum,Plaats,Klassement,Klassement.1,Klassement.2,Klassement.3,Klassement.4,Kwalif.,Afstanden(km),min.leeftijd,Organisator,Inschrijflink,Uitslag,Opmerking,gemeente,latitude,longitude,Datum_dt,dag,Kwalificatie,Klassementen
23,10-03-2024,Kootstertille,,M,K,J,B,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",5 - 8 - 11 km,vanaf 8 jaar,Stichting Survival Kootstertille,,,,Achtkarspelen,53.2118299,6.0922821,2024-03-10,zondag,Ja,M - K - J - B
24,17-03-2024,Zelhem,,,,,,,"5,5 en 8,5 km",vanaf 8 jaar,Survivalgroep Jan in t Touw,,,,Bronckhorst,51.9987779,6.3454761,2024-03-17,zondag,Nee,
25,24-03-2024,Zeist,,,K,J,B,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",5 - 8 km,vanaf 8 jaar,Survivalrun Fit Zeist,,,,Zeist,52.075864,5.2646312,2024-03-24,zondag,Ja,K - J - B
26,31-03-2024,Buren,,,,,,,5 - 8 km,vanaf 8 jaar,Survivalrun Buren,,,,Buren,51.9103889,5.3340584,2024-03-31,zondag,Nee,
27,07-04-2024,Bathmen,L,M,,,,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.","6,5 - 9,5 - 12 - 18 km",vanaf 8 jaar,Schipbeek Survival,,,,Deventer,52.2503032,6.2860997,2024-04-07,zondag,Ja,L - M
28,14-04-2024,Elst,,,K,,B,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",5 - 8 km,vanaf 10 jaar,Stichting Survivalrun Lingezegen,,,gld,Rhenen,51.9822999,5.507013,2024-04-14,zondag,Ja,K - B
29,21-04-2024,Norg,,,,,,,5 - 8 km,vanaf 8 jaar,Survivalrun Norg,,,,Noordenveld,53.0655812,6.4610648,2024-04-21,zondag,Nee,
30,21-04-2024,Steenbergen,,M,K,J,,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.","6,5 - 8,5 - 12 km",vanaf 10 jaar,Survivalrun Diomedon Steenbergen,,,,Steenbergen,51.627894,4.399958,2024-04-21,zondag,Ja,M - K - J
31,21-04-2024,Utrecht,,,,,,,6 - 9 km,vanaf 16 jaar,Stichting Utrecht Survivalrun,,,,Utrecht,52.0927337,5.1493681,2024-04-21,zondag,Nee,
32,27-04-2024,Kollumerzwaag,,,,,,,4 - 8 km,vanaf 9 jaar,Wrot Run,,,,Kollumerland en Nieuwkruisland,53.2624507,6.0760993,2024-04-27,zaterdag,Nee,
